CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Paducah,Micropolitan Statistical Area,KY-IL,"94,595","98,773","98,760","97,037"
Pahrump,Micropolitan Statistical Area,NV,"17,781","32,522","43,945","44,202"
Palatka,Micropolitan Statistical Area,FL,"65,070","70,418","74,366","73,464"
Palestine,Micropolitan Statistical Area,TX,"48,024","55,114","58,458","57,741"
Palm Bay - Melbourne - Titusville,Metropolitan Statistical Area,FL,"398,978","476,299","543,378","589,162"
Pampa,Micropolitan Statistical Area,TX,"24,992","23,629","23,464","23,342"
Panama City,Metropolitan Statistical Area,FL,"126,994","148,270","168,852","183,563"
Paragould,Micropolitan Statistical Area,AR,"31,804","37,383","42,090","45,053"
Paris,Micropolitan Statistical Area,TN,"27,888","31,112","32,354","32,450"
Paris,Micropolitan Statistical Area,TX,"43,949","48,491","49,789","49,587"
Parkersburg - Vienna,Metropolitan Statistical Area,WV,"92,107","93,819","92,674","90,898"
Parsons,Micropolitan Statistical Area,KS,"23,693","22,821","21,610","20,145"
Payson,Micropolitan Statistical Area,AZ,"40,216","51,298","53,597","53,501"
Pearsall,Micropolitan Statistical Area,TX,"13,472","16,255","17,217","19,600"
Pecos,Micropolitan Statistical Area,TX,"15,959","13,208","13,865","15,415"
Pella,Micropolitan Statistical Area,IA,"30,001","32,048","33,309","33,105"
Pensacola - Ferry Pass - Brent,Metropolitan Statistical Area,FL,"344,406","412,167","448,992","487,784"
Peoria,Metropolitan Statistical Area,IL,"396,632","405,155","416,255","407,537"
Peru,Micropolitan Statistical Area,IN,"36,897","36,085","36,908","35,845"
Philadelphia - Camden - Wilmington,Metropolitan Statistical Area,PA-NJ-DE-MD,"5,435,550","5,686,329","5,965,693","6,096,120"
Phoenix - Mesa - Chandler,Metropolitan Statistical Area,AZ,"2,238,498","3,251,884","4,193,129","4,737,270"
Picayune,Micropolitan Statistical Area,MS,"38,714","48,518","55,747","55,270"
Pierre,Micropolitan Statistical Area,SD,"17,270","19,255","19,988","20,677"
Pine Bluff,Metropolitan Statistical Area,AR,"106,958","107,339","100,278","90,963"
Pinehurst - Southern Pines,Micropolitan Statistical Area,NC,"59,000","74,772","88,246","97,264"
Pittsburg,Micropolitan Statistical Area,KS,"35,582","38,248","39,135","39,034"
Pittsburgh,Metropolitan Statistical Area,PA,"2,468,289","2,431,233","2,356,291","2,333,367"
Pittsfield,Metropolitan Statistical Area,MA,"139,352","134,922","131,272","126,313"
Plainview,Micropolitan Statistical Area,TX,"34,671","36,605","36,227","34,134"
Platteville,Micropolitan Statistical Area,WI,"49,266","49,590","51,208","51,999"
Plattsburgh,Micropolitan Statistical Area,NY,"85,969","79,882","82,131","80,980"
Plymouth,Micropolitan Statistical Area,IN,"42,182","45,126","47,047","46,498"
Pocatello,Metropolitan Statistical Area,ID,"73,112","83,104","90,656","92,869"
Point Pleasant,Micropolitan Statistical Area,WV-OH,"56,132","57,010","58,272","56,774"
Ponca City,Micropolitan Statistical Area,OK,"48,056","48,086","46,562","44,544"
Ponce,Metropolitan Statistical Area,PR,"275,957","284,062","262,630","227,758"
Pontiac,Micropolitan Statistical Area,IL,"39,301","39,734","38,950","36,518"
Poplar Bluff,Micropolitan Statistical Area,MO,"51,068","54,369","56,894","56,230"
Portales,Micropolitan Statistical Area,NM,"16,702","18,022","19,840","18,847"
Port Angeles,Micropolitan Statistical Area,WA,"56,210","64,183","71,404","75,474"
Portland - South Portland,Metropolitan Statistical Area,ME,"441,257","487,508","514,102","532,083"
Portland - Vancouver - Hillsboro,Metropolitan Statistical Area,OR-WA,"1,523,741","1,927,904","2,226,001","2,453,168"
Port Lavaca,Micropolitan Statistical Area,TX,"19,053","20,645","21,381","21,744"
Portsmouth,Micropolitan Statistical Area,OH,"80,327","79,215","79,497","75,929"
Port St. Lucie,Metropolitan Statistical Area,FL,"251,071","319,456","424,107","473,429"
Pottsville,Micropolitan Statistical Area,PA,"152,585","150,263","148,289","142,569"
Poughkeepsie - Newburgh - Middletown,Metropolitan Statistical Area,NY,"567,033","621,429","670,275","677,794"
Prescott Valley - Prescott,Metropolitan Statistical Area,AZ,"107,714","167,377","211,015","228,168"
Price,Micropolitan Statistical Area,UT,"20,228","20,531","21,403","20,295"
Prineville,Micropolitan Statistical Area,OR,"14,111","19,175","20,978","23,123"
Providence - Warwick,Metropolitan Statistical Area,RI-MA,"1,509,789","1,582,961","1,601,210","1,621,122"
Provo - Orem,Metropolitan Statistical Area,UT,"269,407","376,775","526,885","617,675"
Pueblo,Metropolitan Statistical Area,CO,"123,051","141,490","159,063","166,475"
Pullman,Micropolitan Statistical Area,WA,"38,775","40,742","44,778","49,046"
Punta Gorda,Metropolitan Statistical Area,FL,"110,975","141,620","159,968","182,033"
Quincy,Micropolitan Statistical Area,IL-MO,"76,323","78,748","77,312","76,201"
Racine,Metropolitan Statistical Area,WI,"175,034","188,849","195,428","196,071"
Raleigh - Cary,Metropolitan Statistical Area,NC,"544,031","797,188","1,130,489","1,335,079"
Rapid City,Metropolitan Statistical Area,SD,"103,221","112,849","126,398","138,159"
Raymondville,Micropolitan Statistical Area,TX,"17,705","20,079","22,137","21,584"
Reading,Metropolitan Statistical Area,PA,"336,523","373,712","411,538","417,854"
Red Bluff,Micropolitan Statistical Area,CA,"49,625","56,060","63,440","63,926"
Redding,Metropolitan Statistical Area,CA,"147,036","163,242","177,223","179,921"
Red Wing,Micropolitan Statistical Area,MN,"40,690","44,139","46,182","46,304"
Reno,Metropolitan Statistical Area,NV,"257,193","342,881","425,437","464,593"
Rexburg,Micropolitan Statistical Area,ID,"34,611","39,304","50,787","52,235"
Richmond,Micropolitan Statistical Area,IN,"71,951","71,087","69,003","66,185"
Richmond,Metropolitan Statistical Area,VA,"901,877","1,040,298","1,186,471","1,270,746"
Richmond - Berea,Micropolitan Statistical Area,KY,"72,122","86,231","97,588","105,503"
Rio Grande City - Roma,Micropolitan Statistical Area,TX,"40,518","53,573","60,968","64,454"
Riverside - San Bernardino - Ontario (Inland Empire),Metropolitan Statistical Area,CA,"2,588,793","3,254,799","4,224,965","4,580,670"
Riverton,Micropolitan Statistical Area,WY,"33,662","35,805","40,123","39,803"
Roanoke,Metropolitan Statistical Area,VA,"268,513","288,370","308,670","314,128"
Roanoke Rapids,Micropolitan Statistical Area,NC,"76,520","79,495","76,735","71,172"
Rochelle,Micropolitan Statistical Area,IL,"45,957","51,001","53,497","51,063"
Rochester,Metropolitan Statistical Area,MN,"162,722","184,745","206,877","218,280"
Rochester,Metropolitan Statistical Area,NY,"1,025,220","1,062,522","1,079,691","1,077,948"
Rockford,Metropolitan Statistical Area,IL,"283,719","320,229","349,431","338,291"
Rockingham,Micropolitan Statistical Area,NC,"44,511","46,597","46,642","44,798"
Rockport,Micropolitan Statistical Area,TX,"17,892","22,457","23,158","25,572"
Rock Springs,Micropolitan Statistical Area,WY,"38,823","37,620","43,806","43,534"
Rocky Mount,Metropolitan Statistical Area,NC,"133,369","142,982","152,374","146,738"
Rolla,Micropolitan Statistical Area,MO,"35,248","39,826","45,154","44,744"
Rome,Metropolitan Statistical Area,GA,"81,251","90,622","96,316","97,613"
Roseburg,Micropolitan Statistical Area,OR,"94,649","100,375","107,667","109,405"
Roswell,Micropolitan Statistical Area,NM,"57,849","61,373","65,648","64,866"
Ruidoso,Micropolitan Statistical Area,NM,"12,219","19,374","20,493","19,395"
Russellville,Micropolitan Statistical Area,AR,"63,642","75,619","83,939","85,358"
Ruston,Micropolitan Statistical Area,LA,"41,745","42,503","46,735","47,744"
Rutland,Micropolitan Statistical Area,VT,"62,142","63,386","61,649","59,087"
Sacramento - Roseville - Folsom,Metropolitan Statistical Area,CA,"1,506,792","1,796,822","2,149,144","2,324,884"
Safford,Micropolitan Statistical Area,AZ,"26,554","33,475","37,220","37,466"
Saginaw,Metropolitan Statistical Area,MI,"211,946","210,051","200,169","191,934"
Salem,Micropolitan Statistical Area,OH,"108,276","112,050","107,841","103,077"
Salem,Metropolitan Statistical Area,OR,"278,024","347,256","390,754","424,982"
Salina,Micropolitan Statistical Area,KS,"54,935","59,763","61,729","60,597"
Salinas,Metropolitan Statistical Area,CA,"355,660","401,752","415,052","437,907"
Salisbury,Metropolitan Statistical Area,MD-DE,"246,036","312,437","373,764","405,853"
Salt Lake City,Metropolitan Statistical Area,UT,"752,557","939,169","1,087,808","1,203,105"
San Angelo,Metropolitan Statistical Area,TX,"101,525","107,173","112,968","120,830"
San Antonio - New Braunfels,Metropolitan Statistical Area,TX,"1,407,745","1,711,578","2,142,516","2,473,974"
San Diego - Chula Vista - Carlsbad,Metropolitan Statistical Area,CA,"2,498,016","2,813,839","3,095,342","3,337,685"
Sandpoint,Micropolitan Statistical Area,ID,"26,622","36,809","40,877","43,560"
Sandusky,Micropolitan Statistical Area,OH,"76,781","79,623","77,066","74,817"
Sanford,Micropolitan Statistical Area,NC,"41,370","49,196","57,858","60,430"
San Francisco - Oakland - Berkeley,Metropolitan Statistical Area,CA,"3,711,756","4,123,734","4,335,573","4,727,357"
San Germán,Metropolitan Statistical Area,PR,"119,597","136,212","137,722","126,097"
